date,combined_equity
2005-04-18 00:00:00,0.9730838590351514
2005-04-19 00:00:00,0.9730838590351514
2005-04-20 00:00:00,0.9730838590351514
2005-04-21 00:00:00,0.9730838590351514
2005-04-22 00:00:00,0.9730838590351514
2005-04-25 00:00:00,0.9730838590351514
2005-04-26 00:00:00,0.9730838590351514
2005-04-27 00:00:00,0.9730838590351514
2005-04-28 00:00:00,0.9730838590351514
2005-04-29 00:00:00,0.9730838590351514
2005-05-02 00:00:00,0.9730838590351514
2005-05-03 00:00:00,0.9730838590351514
2005-05-04 00:00:00,0.9730838590351514
2005-05-05 00:00:00,0.9730838590351514
2005-05-06 00:00:00,0.9730838590351514
2005-05-09 00:00:00,0.9730838590351514
2005-05-10 00:00:00,0.9730838590351514
2005-05-11 00:00:00,0.9730838590351514
2005-05-12 00:00:00,0.9730838590351514
2005-05-13 00:00:00,0.9730838590351514
2005-05-16 00:00:00,0.9730838590351514
2005-05-17 00:00:00,0.9730838590351514
2005-05-18 00:00:00,0.9730838590351514
2005-05-19 00:00:00,0.9730838590351514
2005-05-20 00:00:00,0.9730838590351514
2005-05-23 00:00:00,0.9730838590351514
2005-05-24 00:00:00,0.9730838590351514
2005-05-25 00:00:00,0.9730838590351514
2005-05-26 00:00:00,0.9730838590351514
2005-05-27 00:00:00,0.9730838590351514
2005-05-31 00:00:00,0.9730838590351514
2005-06-01 00:00:00,0.9730838590351514
2005-06-02 00:00:00,0.9730838590351514
2005-06-03 00:00:00,0.9730838590351514
2005-06-06 00:00:00,0.9730838590351514
2005-06-07 00:00:00,0.9730838590351514
2005-06-08 00:00:00,0.9730838590351514
2005-06-09 00:00:00,0.9730838590351514
2005-06-10 00:00:00,0.9730838590351514
2005-06-13 00:00:00,0.9730838590351514
2005-06-14 00:00:00,0.9730838590351514
2005-06-15 00:00:00,0.9730838590351514
2005-06-16 00:00:00,0.9730838590351514
2005-06-17 00:00:00,0.9730838590351514
2005-06-20 00:00:00,0.9730838590351514
2005-06-21 00:00:00,0.9730838590351514
2005-06-22 00:00:00,0.9730838590351514
2005-06-23 00:00:00,0.9730838590351514
2005-06-24 00:00:00,0.9730838590351514
2005-06-27 00:00:00,0.9730838590351514
2005-06-28 00:00:00,0.9730838590351514
2005-06-29 00:00:00,0.9730838590351514
2005-06-30 00:00:00,0.9730838590351514
2005-07-01 00:00:00,0.9730838590351514
2005-07-05 00:00:00,0.9730838590351514
2005-07-06 00:00:00,0.9730838590351514
2005-07-07 00:00:00,0.9730838590351514
2005-07-08 00:00:00,0.9730838590351514
2005-07-11 00:00:00,0.9730838590351514
2005-07-12 00:00:00,0.9730838590351514
2005-07-13 00:00:00,0.9730838590351514
2005-07-14 00:00:00,0.9730838590351514
2005-07-15 00:00:00,0.9730838590351514
2005-07-18 00:00:00,0.9730838590351514
2005-07-19 00:00:00,0.9730838590351514
2005-07-20 00:00:00,0.9730838590351514
2005-07-21 00:00:00,0.9730838590351514
2005-07-22 00:00:00,0.9730838590351514
2005-07-25 00:00:00,0.9730838590351514
2005-07-26 00:00:00,0.9730838590351514
2005-07-27 00:00:00,0.9730838590351514
2005-07-28 00:00:00,0.9730838590351514
2005-07-29 00:00:00,0.9730838590351514
2005-08-01 00:00:00,0.9730838590351514
2005-08-02 00:00:00,0.9730838590351514
2005-08-03 00:00:00,0.9730838590351514
2005-08-04 00:00:00,0.9730838590351514
2005-08-05 00:00:00,0.9730838590351514
2005-08-08 00:00:00,0.9730838590351514
2005-08-09 00:00:00,0.9730838590351514
2005-08-10 00:00:00,0.9730838590351514
2005-08-11 00:00:00,0.9730838590351514
2005-08-12 00:00:00,0.9730838590351514
2005-08-15 00:00:00,0.9730838590351514
2005-08-16 00:00:00,0.9730838590351514
2005-08-17 00:00:00,0.9730838590351514
2005-08-18 00:00:00,0.9730838590351514
2005-08-19 00:00:00,0.9730838590351514
2005-08-22 00:00:00,0.9730838590351514
2005-08-23 00:00:00,0.9730838590351514
2005-08-24 00:00:00,0.9730838590351514
2005-08-25 00:00:00,0.9730838590351514
2005-08-26 00:00:00,0.9730838590351514
2005-08-29 00:00:00,0.9730838590351514
2005-08-30 00:00:00,0.9730838590351514
2005-08-31 00:00:00,0.9730838590351514
2005-09-01 00:00:00,0.9730838590351514
2005-09-02 00:00:00,0.9730838590351514
2005-09-06 00:00:00,0.9730838590351514
2005-09-07 00:00:00,0.9730838590351514
2005-09-08 00:00:00,0.9730838590351514
2005-09-09 00:00:00,0.9730838590351514
2005-09-12 00:00:00,0.9730838590351514
2005-09-13 00:00:00,0.9730838590351514
2005-09-14 00:00:00,0.9730838590351514
2005-09-15 00:00:00,0.9730838590351514
2005-09-16 00:00:00,0.9730838590351514
2005-09-19 00:00:00,0.9730838590351514
2005-09-20 00:00:00,0.9730838590351514
2005-09-21 00:00:00,0.9730838590351514
2005-09-22 00:00:00,0.9730838590351514
2005-09-23 00:00:00,0.9730838590351514
2005-09-26 00:00:00,0.9730838590351514
2005-09-27 00:00:00,0.9730838590351514
2005-09-28 00:00:00,0.9730838590351514
2005-09-29 00:00:00,0.9730838590351514
2005-09-30 00:00:00,0.9730838590351514
2005-10-03 00:00:00,0.9730838590351514
2005-10-04 00:00:00,0.9730838590351514
2005-10-05 00:00:00,0.9730838590351514
2005-10-06 00:00:00,0.9730838590351514
2005-10-07 00:00:00,0.9730838590351514
2005-10-10 00:00:00,0.9730838590351514
2005-10-11 00:00:00,0.9757327153587444
2005-10-12 00:00:00,0.9851433366513105
2005-10-13 00:00:00,0.988620519779028
2005-10-14 00:00:00,0.9900845721008149
2005-10-17 00:00:00,0.990277173387277
2005-10-18 00:00:00,0.9891983236384145
2005-10-19 00:00:00,0.9887551994072145
2005-10-20 00:00:00,0.9861929901171397
2005-10-21 00:00:00,0.9772735256504416
2005-10-24 00:00:00,0.9847769703900207
2005-10-25 00:00:00,0.9930220949002058
2005-10-26 00:00:00,0.9999957683750661
2005-10-27 00:00:00,0.9965859250614418
2005-10-28 00:00:00,0.9964606635890727
2005-10-31 00:00:00,0.994640134069604
2005-11-01 00:00:00,0.999918539497365
2005-11-02 00:00:00,1.004349310901576
2005-11-03 00:00:00,1.010687258858774
2005-11-04 00:00:00,1.012151311180561
2005-11-07 00:00:00,1.008953376372824
2005-11-08 00:00:00,0.9998220034002384
2005-11-09 00:00:00,1.0095504874516357
2005-11-10 00:00:00,0.9980881209142882
2005-11-11 00:00:00,0.9975390424301445
2005-11-14 00:00:00,1.0046186701579487
2005-11-15 00:00:00,0.9984540162677872
2005-11-16 00:00:00,0.988475009271652
2005-11-17 00:00:00,0.9861247084874648
2005-11-18 00:00:00,0.9905554798916759
2005-11-21 00:00:00,0.9876754078427702
2005-11-22 00:00:00,0.9863846495880201
2005-11-23 00:00:00,0.9900737412216251
2005-11-25 00:00:00,0.9865579436550569
2005-11-28 00:00:00,0.9817706950531642
2005-11-29 00:00:00,0.9800907032548001
2005-11-30 00:00:00,0.9800907032548001
2005-12-01 00:00:00,0.9800907032548001
2005-12-02 00:00:00,0.9800907032548001
2005-12-05 00:00:00,0.9800907032548001
2005-12-06 00:00:00,0.9800907032548001
2005-12-07 00:00:00,0.9800907032548001
2005-12-08 00:00:00,0.9800907032548001
2005-12-09 00:00:00,0.9800907032548001
2005-12-12 00:00:00,0.9800907032548001
2005-12-13 00:00:00,0.9800907032548001
2005-12-14 00:00:00,0.9800907032548001
2005-12-15 00:00:00,0.9800907032548001
2005-12-16 00:00:00,0.9800907032548001
2005-12-19 00:00:00,0.9800907032548001
2005-12-20 00:00:00,0.9800907032548001
2005-12-21 00:00:00,0.9800907032548001
2005-12-22 00:00:00,0.9800907032548001
2005-12-23 00:00:00,0.9800907032548001
2005-12-27 00:00:00,0.9800907032548001
2005-12-28 00:00:00,0.9800907032548001
2005-12-29 00:00:00,0.9800907032548001
2005-12-30 00:00:00,0.9800907032548001
2006-01-03 00:00:00,0.9800907032548001
2006-01-04 00:00:00,0.9800907032548001
2006-01-05 00:00:00,0.9800907032548001
2006-01-06 00:00:00,0.9800907032548001
2006-01-09 00:00:00,0.9800907032548001
2006-01-10 00:00:00,0.9800907032548001
2006-01-11 00:00:00,0.9800907032548001
2006-01-12 00:00:00,0.9800907032548001
2006-01-13 00:00:00,0.9800907032548001
2006-01-17 00:00:00,0.9800907032548001
2006-01-18 00:00:00,0.9800907032548001
2006-01-19 00:00:00,0.9800907032548001
2006-01-20 00:00:00,0.9800907032548001
2006-01-23 00:00:00,0.9800907032548001
2006-01-24 00:00:00,0.9800907032548001
2006-01-25 00:00:00,0.9800907032548001
2006-01-26 00:00:00,0.9800907032548001
2006-01-27 00:00:00,0.9800907032548001
2006-01-30 00:00:00,0.9800907032548001
2006-01-31 00:00:00,0.9800907032548001
2006-02-01 00:00:00,0.9800907032548001
2006-02-02 00:00:00,0.9800907032548001
2006-02-03 00:00:00,0.9800907032548001
2006-02-06 00:00:00,0.9800907032548001
2006-02-07 00:00:00,0.9800907032548001
2006-02-08 00:00:00,0.9800907032548001
2006-02-09 00:00:00,0.9800907032548001
2006-02-10 00:00:00,0.9800907032548001
2006-02-13 00:00:00,0.9800907032548001
2006-02-14 00:00:00,0.9800907032548001
2006-02-15 00:00:00,0.9800907032548001
2006-02-16 00:00:00,0.9800907032548001
2006-02-17 00:00:00,0.9800907032548001
2006-02-21 00:00:00,0.9800907032548001
2006-02-22 00:00:00,0.9800907032548001
2006-02-23 00:00:00,0.9800907032548001
2006-02-24 00:00:00,0.9800907032548001
2006-02-27 00:00:00,0.9800907032548001
2006-02-28 00:00:00,0.9800907032548001
2006-03-01 00:00:00,0.9800907032548001
2006-03-02 00:00:00,0.9800907032548001
2006-03-03 00:00:00,0.9800907032548001
2006-03-06 00:00:00,0.9800907032548001
2006-03-07 00:00:00,0.9800907032548001
2006-03-08 00:00:00,0.9800907032548001
2006-03-09 00:00:00,0.9800907032548001
2006-03-10 00:00:00,0.9800907032548001
2006-03-13 00:00:00,0.9800907032548001
2006-03-14 00:00:00,0.9800907032548001
2006-03-15 00:00:00,0.9800907032548001
2006-03-16 00:00:00,0.9800907032548001
2006-03-17 00:00:00,0.9800907032548001
2006-03-20 00:00:00,0.9800907032548001
2006-03-21 00:00:00,0.9800907032548001
2006-03-22 00:00:00,0.9800907032548001
2006-03-23 00:00:00,0.9800907032548001
2006-03-24 00:00:00,0.9800907032548001
2006-03-27 00:00:00,0.9800907032548001
2006-03-28 00:00:00,0.9800907032548001
2006-03-29 00:00:00,0.9800907032548001
2006-03-30 00:00:00,0.9800907032548001
2006-03-31 00:00:00,0.9800907032548001
2006-04-03 00:00:00,0.9800907032548001
2006-04-04 00:00:00,0.9800907032548001
2006-04-05 00:00:00,0.9800907032548001
2006-04-06 00:00:00,0.9800907032548001
2006-04-07 00:00:00,0.9800907032548001
2006-04-10 00:00:00,0.9800907032548001
2006-04-11 00:00:00,0.9800907032548001
2006-04-12 00:00:00,0.9800907032548001
2006-04-13 00:00:00,0.9800907032548001
2006-04-17 00:00:00,0.9800907032548001
2006-04-18 00:00:00,0.9800907032548001
2006-04-19 00:00:00,0.9800907032548001
2006-04-20 00:00:00,0.9800907032548001
2006-04-21 00:00:00,0.9800907032548001
2006-04-24 00:00:00,0.9800907032548001
2006-04-25 00:00:00,0.9800907032548001
2006-04-26 00:00:00,0.9800907032548001
2006-04-27 00:00:00,0.9800907032548001
2006-04-28 00:00:00,0.9800907032548001
2006-05-01 00:00:00,0.9800907032548001
2006-05-02 00:00:00,0.9800907032548001
2006-05-03 00:00:00,0.9800907032548001
2006-05-04 00:00:00,0.9800907032548001
2006-05-05 00:00:00,0.9800907032548001
2006-05-08 00:00:00,0.9800907032548001
2006-05-09 00:00:00,0.9800907032548001
2006-05-10 00:00:00,0.9800907032548001
2006-05-11 00:00:00,0.9800907032548001
2006-05-12 00:00:00,0.9800907032548001
2006-05-15 00:00:00,0.9800907032548001
2006-05-16 00:00:00,0.9800907032548001
2006-05-17 00:00:00,0.9800907032548001
2006-05-18 00:00:00,0.9800907032548001
2006-05-19 00:00:00,0.9800907032548001
2006-05-22 00:00:00,0.9800907032548001
2006-05-23 00:00:00,0.9800907032548001
2006-05-24 00:00:00,0.9800907032548001
2006-05-25 00:00:00,0.9800907032548001
2006-05-26 00:00:00,0.9800907032548001
2006-05-30 00:00:00,0.9800907032548001
2006-05-31 00:00:00,0.9800907032548001
2006-06-01 00:00:00,0.9800907032548001
2006-06-02 00:00:00,0.9800907032548001
2006-06-05 00:00:00,0.9800907032548001
2006-06-06 00:00:00,0.9800907032548001
2006-06-07 00:00:00,0.9800907032548001
2006-06-08 00:00:00,0.9800907032548001
2006-06-09 00:00:00,0.9800907032548001
2006-06-12 00:00:00,0.9800907032548001
2006-06-13 00:00:00,0.9800907032548001
2006-06-14 00:00:00,0.9800907032548001
2006-06-15 00:00:00,0.9800907032548001
2006-06-16 00:00:00,0.9800907032548001
2006-06-19 00:00:00,0.9800907032548001
2006-06-20 00:00:00,0.9800907032548001
2006-06-21 00:00:00,0.9800907032548001
2006-06-22 00:00:00,0.9800907032548001
2006-06-23 00:00:00,0.9800907032548001
2006-06-26 00:00:00,0.9800907032548001
2006-06-27 00:00:00,0.9800907032548001
2006-06-28 00:00:00,0.9800907032548001
2006-06-29 00:00:00,0.9800907032548001
2006-06-30 00:00:00,0.9800907032548001
2006-07-03 00:00:00,0.9800907032548001
2006-07-05 00:00:00,0.9800907032548001
2006-07-06 00:00:00,0.9800907032548001
2006-07-07 00:00:00,0.9800907032548001
2006-07-10 00:00:00,0.9800907032548001
2006-07-11 00:00:00,0.9800907032548001
2006-07-12 00:00:00,0.9800907032548001
2006-07-13 00:00:00,0.9800907032548001
2006-07-14 00:00:00,0.9800907032548001
2006-07-17 00:00:00,0.9800907032548001
2006-07-18 00:00:00,0.9800907032548001
2006-07-19 00:00:00,0.9800907032548001
2006-07-20 00:00:00,0.9800907032548001
2006-07-21 00:00:00,0.9800907032548001
2006-07-24 00:00:00,0.9800907032548001
2006-07-25 00:00:00,0.9800907032548001
2006-07-26 00:00:00,0.9800907032548001
2006-07-27 00:00:00,0.9800907032548001
2006-07-28 00:00:00,0.9800907032548001
2006-07-31 00:00:00,0.9800907032548001
2006-08-01 00:00:00,0.9800907032548001
2006-08-02 00:00:00,0.9800907032548001
2006-08-03 00:00:00,0.9800907032548001
2006-08-04 00:00:00,0.9800907032548001
2006-08-07 00:00:00,0.9800907032548001
2006-08-08 00:00:00,0.9800907032548001
2006-08-09 00:00:00,0.9800907032548001
2006-08-10 00:00:00,0.9800907032548001
2006-08-11 00:00:00,0.9800907032548001
2006-08-14 00:00:00,0.9800907032548001
2006-08-15 00:00:00,0.9800907032548001
2006-08-16 00:00:00,0.9800907032548001
2006-08-17 00:00:00,0.9800907032548001
2006-08-18 00:00:00,0.9800907032548001
2006-08-21 00:00:00,0.9800907032548001
2006-08-22 00:00:00,0.9800907032548001
2006-08-23 00:00:00,0.9800907032548001
2006-08-24 00:00:00,0.9800907032548001
2006-08-25 00:00:00,0.9800907032548001
2006-08-28 00:00:00,0.9800907032548001
2006-08-29 00:00:00,0.9800907032548001
2006-08-30 00:00:00,0.9800907032548001
2006-08-31 00:00:00,0.9800907032548001
2006-09-01 00:00:00,0.9800907032548001
2006-09-05 00:00:00,0.9800907032548001
2006-09-06 00:00:00,0.9800907032548001
2006-09-07 00:00:00,0.9800907032548001
2006-09-08 00:00:00,0.9800907032548001
2006-09-11 00:00:00,0.9800907032548001
2006-09-12 00:00:00,0.9800907032548001
2006-09-13 00:00:00,0.9800907032548001
2006-09-14 00:00:00,0.9800907032548001
2006-09-15 00:00:00,0.9800907032548001
2006-09-18 00:00:00,0.9800907032548001
2006-09-19 00:00:00,0.9800907032548001
2006-09-20 00:00:00,0.9800907032548001
2006-09-21 00:00:00,0.9800907032548001
2006-09-22 00:00:00,0.9800907032548001
2006-09-25 00:00:00,0.9800907032548001
2006-09-26 00:00:00,0.9800907032548001
2006-09-27 00:00:00,0.9800907032548001
2006-09-28 00:00:00,0.9800907032548001
2006-09-29 00:00:00,0.9800907032548001
2006-10-02 00:00:00,0.9800907032548001
2006-10-03 00:00:00,0.9800907032548001
2006-10-04 00:00:00,0.9800907032548001
2006-10-05 00:00:00,0.9800907032548001
2006-10-06 00:00:00,0.9800907032548001
2006-10-09 00:00:00,0.9800907032548001
2006-10-10 00:00:00,0.9800907032548001
2006-10-11 00:00:00,0.9800907032548001
2006-10-12 00:00:00,0.9800907032548001
2006-10-13 00:00:00,0.9800907032548001
2006-10-16 00:00:00,0.9800907032548001
2006-10-17 00:00:00,0.9800907032548001
2006-10-18 00:00:00,0.9800907032548001
2006-10-19 00:00:00,0.9800907032548001
2006-10-20 00:00:00,0.9800907032548001
2006-10-23 00:00:00,0.9800907032548001
2006-10-24 00:00:00,0.9800907032548001
2006-10-25 00:00:00,0.9800907032548001
2006-10-26 00:00:00,0.9800907032548001
2006-10-27 00:00:00,0.9800907032548001
2006-10-30 00:00:00,0.9800907032548001
2006-10-31 00:00:00,0.9800907032548001
2006-11-01 00:00:00,0.9800907032548001
2006-11-02 00:00:00,0.9800907032548001
2006-11-03 00:00:00,0.9800907032548001
2006-11-06 00:00:00,0.9800907032548001
2006-11-07 00:00:00,0.9800907032548001
2006-11-08 00:00:00,0.9800907032548001
2006-11-09 00:00:00,0.9800907032548001
2006-11-10 00:00:00,0.9800907032548001
2006-11-13 00:00:00,0.9800907032548001
2006-11-14 00:00:00,0.9800907032548001
2006-11-15 00:00:00,0.9800907032548001
2006-11-16 00:00:00,0.9800907032548001
2006-11-17 00:00:00,0.9800907032548001
2006-11-20 00:00:00,0.9800907032548001
2006-11-21 00:00:00,0.9800907032548001
2006-11-22 00:00:00,0.9800907032548001
2006-11-24 00:00:00,0.9800907032548001
2006-11-27 00:00:00,0.9800907032548001
2006-11-28 00:00:00,0.9800907032548001
2006-11-29 00:00:00,0.9800907032548001
2006-11-30 00:00:00,0.9800907032548001
2006-12-01 00:00:00,0.9800907032548001
2006-12-04 00:00:00,0.9800907032548001
2006-12-05 00:00:00,0.9800907032548001
2006-12-06 00:00:00,0.9800907032548001
2006-12-07 00:00:00,0.9800907032548001
2006-12-08 00:00:00,0.9800907032548001
2006-12-11 00:00:00,0.9800907032548001
2006-12-12 00:00:00,0.9800907032548001
2006-12-13 00:00:00,0.9800907032548001
2006-12-14 00:00:00,0.9800907032548001
2006-12-15 00:00:00,0.9800907032548001
2006-12-18 00:00:00,0.9800907032548001
2006-12-19 00:00:00,0.9800907032548001
2006-12-20 00:00:00,0.9800907032548001
2006-12-21 00:00:00,0.9800907032548001
2006-12-22 00:00:00,0.9800907032548001
2006-12-26 00:00:00,0.9800907032548001
2006-12-27 00:00:00,0.9800907032548001
2006-12-28 00:00:00,0.9800907032548001
2006-12-29 00:00:00,0.9800907032548001
2007-01-03 00:00:00,0.9800907032548001
2007-01-04 00:00:00,0.9800907032548001
2007-01-05 00:00:00,0.9800907032548001
2007-01-08 00:00:00,0.9800907032548001
2007-01-09 00:00:00,0.9800907032548001
2007-01-10 00:00:00,0.9800907032548001
2007-01-11 00:00:00,0.9800907032548001
2007-01-12 00:00:00,0.9800907032548001
2007-01-16 00:00:00,0.9800907032548001
2007-01-17 00:00:00,0.9800907032548001
2007-01-18 00:00:00,0.9800907032548001
2007-01-19 00:00:00,0.9800907032548001
2007-01-22 00:00:00,0.9800907032548001
2007-01-23 00:00:00,0.9800907032548001
2007-01-24 00:00:00,0.9800907032548001
2007-01-25 00:00:00,0.9800907032548001
2007-01-26 00:00:00,0.9800907032548001
2007-01-29 00:00:00,0.9800907032548001
2007-01-30 00:00:00,0.9800907032548001
2007-01-31 00:00:00,0.9800907032548001
2007-02-01 00:00:00,0.9800907032548001
2007-02-02 00:00:00,0.9800907032548001
2007-02-05 00:00:00,0.9800907032548001
2007-02-06 00:00:00,0.9733469598837808
2007-02-07 00:00:00,0.9704052248455604
2007-02-08 00:00:00,0.9695990085414958
2007-02-09 00:00:00,0.9751993484398997
2007-02-12 00:00:00,0.9774278166527939
2007-02-13 00:00:00,0.9795438891428379
2007-02-14 00:00:00,0.9701955979021492
2007-02-15 00:00:00,0.9646139121256202
2007-02-16 00:00:00,0.9646139121256202
2007-02-20 00:00:00,0.9646139121256202
2007-02-21 00:00:00,0.9646139121256202
2007-02-22 00:00:00,0.9646139121256202
2007-02-23 00:00:00,0.9646139121256202
2007-02-26 00:00:00,0.9646139121256202
2007-02-27 00:00:00,0.9646139121256202
2007-02-28 00:00:00,0.9646139121256202
2007-03-01 00:00:00,0.9646139121256202
2007-03-02 00:00:00,0.9646139121256202
2007-03-05 00:00:00,0.9646139121256202
2007-03-06 00:00:00,0.9646139121256202
2007-03-07 00:00:00,0.9646139121256202
2007-03-08 00:00:00,0.9646139121256202
2007-03-09 00:00:00,0.9646139121256202
2007-03-12 00:00:00,0.9646139121256202
2007-03-13 00:00:00,0.9646139121256202
2007-03-14 00:00:00,0.9646139121256202
2007-03-15 00:00:00,0.9646139121256202
2007-03-16 00:00:00,0.9646139121256202
2007-03-19 00:00:00,0.9646139121256202
2007-03-20 00:00:00,0.9646139121256202
2007-03-21 00:00:00,0.9646139121256202
2007-03-22 00:00:00,0.9646139121256202
2007-03-23 00:00:00,0.9646139121256202
2007-03-26 00:00:00,0.9646139121256202
2007-03-27 00:00:00,0.9646139121256202
2007-03-28 00:00:00,0.9646139121256202
2007-03-29 00:00:00,0.9646139121256202
2007-03-30 00:00:00,0.9646139121256202
2007-04-02 00:00:00,0.9646139121256202
2007-04-03 00:00:00,0.9646139121256202
2007-04-04 00:00:00,0.9646139121256202
2007-04-05 00:00:00,0.9646139121256202
2007-04-09 00:00:00,0.9646139121256202
2007-04-10 00:00:00,0.9646139121256202
2007-04-11 00:00:00,0.9646139121256202
2007-04-12 00:00:00,0.9646139121256202
2007-04-13 00:00:00,0.9646139121256202
2007-04-16 00:00:00,0.9646139121256202
2007-04-17 00:00:00,0.9646139121256202
2007-04-18 00:00:00,0.9646139121256202
2007-04-19 00:00:00,0.9676602903728024
2007-04-20 00:00:00,0.9701435333394931
2007-04-23 00:00:00,0.9666428190349333
2007-04-24 00:00:00,0.9630333055072597
2007-04-25 00:00:00,0.9663869422588597
2007-04-26 00:00:00,0.9733309533732102
2007-04-27 00:00:00,0.9735294126545143
2007-04-30 00:00:00,0.9670911193258859
2007-05-01 00:00:00,0.9663103855991672
2007-05-02 00:00:00,0.9668352425498123
2007-05-03 00:00:00,0.9689920878471622
2007-05-04 00:00:00,0.9650561766501478
2007-05-07 00:00:00,0.9624258561304969
2007-05-08 00:00:00,0.9635440605243146
2007-05-09 00:00:00,0.9635440605243146
2007-05-10 00:00:00,0.9635440605243146
2007-05-11 00:00:00,0.9635440605243146
2007-05-14 00:00:00,0.9635440605243146
2007-05-15 00:00:00,0.9635440605243146
2007-05-16 00:00:00,0.9635440605243146
2007-05-17 00:00:00,0.9635440605243146
2007-05-18 00:00:00,0.9635440605243146
2007-05-21 00:00:00,0.9635440605243146
2007-05-22 00:00:00,0.9635440605243146
2007-05-23 00:00:00,0.9635440605243146
2007-05-24 00:00:00,0.9635440605243146
2007-05-25 00:00:00,0.9635440605243146
2007-05-29 00:00:00,0.9635440605243146
2007-05-30 00:00:00,0.9635440605243146
2007-05-31 00:00:00,0.9635440605243146
2007-06-01 00:00:00,0.9635440605243146
2007-06-04 00:00:00,0.9635440605243146
2007-06-05 00:00:00,0.9635440605243146
2007-06-06 00:00:00,0.9635440605243146
2007-06-07 00:00:00,0.9635440605243146
2007-06-08 00:00:00,0.9635440605243146
2007-06-11 00:00:00,0.9635440605243146
2007-06-12 00:00:00,0.9635440605243146
2007-06-13 00:00:00,0.9635440605243146
2007-06-14 00:00:00,0.9635440605243146
2007-06-15 00:00:00,0.9635440605243146
2007-06-18 00:00:00,0.9635440605243146
2007-06-19 00:00:00,0.9635440605243146
2007-06-20 00:00:00,0.9635440605243146
2007-06-21 00:00:00,0.9635440605243146
2007-06-22 00:00:00,0.9635440605243146
2007-06-25 00:00:00,0.9635440605243146
2007-06-26 00:00:00,0.9635440605243146
2007-06-27 00:00:00,0.9635440605243146
2007-06-28 00:00:00,0.9635440605243146
2007-06-29 00:00:00,0.9635440605243146
2007-07-02 00:00:00,0.9635440605243146
2007-07-03 00:00:00,0.9635440605243146
2007-07-05 00:00:00,0.9635440605243146
2007-07-06 00:00:00,0.9635440605243146
2007-07-09 00:00:00,0.9635440605243146
2007-07-10 00:00:00,0.9635440605243146
2007-07-11 00:00:00,0.9635440605243146
2007-07-12 00:00:00,0.9635440605243146
2007-07-13 00:00:00,0.9635440605243146
2007-07-16 00:00:00,0.9635440605243146
2007-07-17 00:00:00,0.9635440605243146
2007-07-18 00:00:00,0.9635440605243146
2007-07-19 00:00:00,0.9635440605243146
2007-07-20 00:00:00,0.9635440605243146
2007-07-23 00:00:00,0.9635440605243146
2007-07-24 00:00:00,0.9635440605243146
2007-07-25 00:00:00,0.9635440605243146
2007-07-26 00:00:00,0.9635440605243146
2007-07-27 00:00:00,0.9635440605243146
2007-07-30 00:00:00,0.9635440605243146
2007-07-31 00:00:00,0.9635440605243146
2007-08-01 00:00:00,0.9635440605243146
2007-08-02 00:00:00,0.9635440605243146
2007-08-03 00:00:00,0.9635440605243146
2007-08-06 00:00:00,0.9635440605243146
2007-08-07 00:00:00,0.9635440605243146
2007-08-08 00:00:00,0.9635440605243146
2007-08-09 00:00:00,0.9635440605243146
2007-08-10 00:00:00,0.9635440605243146
2007-08-13 00:00:00,0.9635440605243146
2007-08-14 00:00:00,0.9635440605243146
2007-08-15 00:00:00,0.9635440605243146
2007-08-16 00:00:00,0.9635440605243146
